invariably,변치 않게
aberrant,정도를 벗어난
obliterate,지우다
dictate,"지시하다, 결정하다"
inevitable,피할수 없는
consequent,결과적으로 일어난
decimation,대량파괴
evoke,불러일으키다
vulnerable,취약한
elaborate,"정교한, 자세히 설명하다"
enigmatic,미스터리한
coincide with,일치하다
seemingly,외견상으로
wrought,만들어진
obstacle,장애물
lucrative,수익성이 좋은
extensive,광범위한
dampen,적시다
opaque,"불투명한, 불분명한"
endorse,"서명하다, 지지하다"
advent,"출현, 도래"
severely,"격렬하게, 심하게"
immutable,불편하는
yardstick,"기준, 척도"
preserve,보존하다
conviction,"확신, 신념"
hallmark,특징
timid,소심한
robust,강인한
discard,버리다
complicated,복잡한
apart from,제외한
graduate to,승진하다
demonstrate,"입증하다, 나타내다"
deluxe,호화로운
dispute,"논쟁, 논쟁하다"
convention,관습
rival,"경쟁자, 경쟁의, 경쟁하다"
modulate,조절하다
universal,보편적인
equivalent,동등한
sparsely,드문드문
exceed,초과하다
linger,남다
innovative,"혁신적인, 독창적인"
antiquity,고대
impending,임박한
doctrine,교리
contribute,"기여하다, 기부하다"
cease,"중단하다, 멈추다"
prior to,~보다 전에
groom,다듬다
diversity,다양성
correlate,관련짓다
elite,최상류층
stratify,층을 이루다
lessen,줄이다
upset,불안하게 하다
accrete,하나로 합치다
uniterrupted,방해받지 않는
