virtually,"사실상, 거의"
unprecedented,"전례없는, 새로운"
grow accustomed to,~에 익숙해지다
intrigue,흥미를 끌다
implausible,믿기 어려운
decline,"쇠퇴,쇠약, 줄다,감소하다, 거절하다"
contemporary,"현대의,동시대의"
aloocate,"할당하다, 배정하다"
drastically,극심하게
heterogeneous,"잡다한, 혼성의"
conspicuous,뚜렷한
prolific,"다산의, 풍부한"
fluctuation,변동
encourage,"격려하다, 촉진하다"
abrupt,갑작스러운
evaluate,평가하다
comprehensive,종합적인
engrave,새기다
slight,"경미한, 하찮은"
monotonous,단조로운
regard,"생각하다, 관심"
obsession with,~에 대한 집착
optimize,최적화하다
supplant,대체하다
colossal,"거대한, 엄청난"
diffuse,퍼뜨리다
mechanics,방법
susceptible to,"~에 걸리기 쉬운, 영향받기 쉬운"
emanate,나다
convetionally,관례적으로
expansive,"넓은, 광대한"
sporadically,이따금씩
comparative,상대적인
stamp out,근절하다
stagnation,침체
innate,선천적인
obsolete,"쓸모없게된, 쓰이지않는"
specify,명시하다
endure,"견디다, 지속하다"
conceivable,생각할 수 있는
sufficiently,충분히
entail,"수반하다,일으키다, 필요로하다"
depict,묘사하다
integration,통합
stockpile,비축하다
capture,붙잡다
landscape,풍경
elaborately,정교하게
autonomous,자율적인
boom,갑자기 번창하다
supremacy,우위
ravage,파괴하다
authority,"권위자, 대가"
plug,"메우다, 채우다"
discrepancy,불일치
elucidate,설명하다
