exploit,이용하다
account for,"설명하다, 차지하다, 원인이되다"
particular,특정한
prominent,"눈에띄는, 중요한"
replenish,보충하다
indigenous,토착의
pinpoint,"찾아내다, 정확한"
annihilate,전멸시키다
conversely,반대로
investigate,조사하다
assure,보장하다
entire,전체의
compensate for,"보상하다, 상쇄하다"
postulate,가정하다
magnify,확대하다
afford,주다
conclusive,결정적인
unsophisticated,단순한
justified,정당한
deliberate,"신중한, 의도적인"
depend on,의존하다
substantiate,입증하다
successively,잇따라서
pervasive,만연하는
strenuous,격렬한
sleek,매끄러운
invoke,"빌다, 기원하다"
impressive,인상적인
conjunction,결합
astoundingly,몹시 놀랍게도
aftermath,"여파, 결과"
promptly,즉시
subdue,정복하다
extant,현존하는
sedentary,주로 앉아있는
eliminate,제거하다
perfect,완벽하게하다
genuine,진짜의
dominant,"우세한, 주요한"
unrivaled,비할데 없는
paradox,모순된 말
neglect,"무시하다, 잊다"
recall,상기하다
ascend,올라가다
solid,확고한
contour,"윤곽, 외형"
inhabit,거주하다
irrevocably,돌이킬수없게
superficially,표면적으로
stunted,발달이 저해된
malleable,두들겨펼수 있는
mean,"의미하다, 평균"
exclude,"차단하다, 제외하다"
mature,성숙해지다
pillar,기둥
encroachment,"잠식, 침입"
no wonder,놀랄일이 아닌
